"","user","date_time","date","hour","day","price"
"123","bitcoinprice",2017-05-24 16:00:04,2017-05-24,16,"Wed",2410.85
"124","bitcoinprice",2017-05-24 15:00:04,2017-05-24,15,"Wed",2384.23
"125","bitcoinprice",2017-05-24 14:00:03,2017-05-24,14,"Wed",2373.74
"126","bitcoinprice",2017-05-24 13:00:03,2017-05-24,13,"Wed",2392
"127","bitcoinprice",2017-05-24 12:00:04,2017-05-24,12,"Wed",2374.66
"128","bitcoinprice",2017-05-24 11:00:04,2017-05-24,11,"Wed",2351.53
"129","bitcoinprice",2017-05-24 10:00:04,2017-05-24,10,"Wed",2333.87
"130","bitcoinprice",2017-05-24 09:00:03,2017-05-24,9,"Wed",2341.15
"131","bitcoinprice",2017-05-24 08:00:03,2017-05-24,8,"Wed",2326.72
"132","bitcoinprice",2017-05-24 07:00:03,2017-05-24,7,"Wed",2324.27
"133","bitcoinprice",2017-05-24 06:00:04,2017-05-24,6,"Wed",2308.26
"134","bitcoinprice",2017-05-24 05:00:04,2017-05-24,5,"Wed",2308.68
"135","bitcoinprice",2017-05-24 04:00:04,2017-05-24,4,"Wed",2303.83
"136","bitcoinprice",2017-05-24 03:00:04,2017-05-24,3,"Wed",2313.61
"137","bitcoinprice",2017-05-24 02:00:03,2017-05-24,2,"Wed",2300.38
"138","bitcoinprice",2017-05-24 01:00:04,2017-05-24,1,"Wed",2288.33
"139","bitcoinprice",2017-05-24 00:00:03,2017-05-24,0,"Wed",2261.84
"140","bitcoinprice",2017-05-23 23:00:03,2017-05-23,23,"Tue",2254.3
"141","bitcoinprice",2017-05-23 22:00:03,2017-05-23,22,"Tue",2243.78
"142","bitcoinprice",2017-05-23 21:00:04,2017-05-23,21,"Tue",2230.98
"143","bitcoinprice",2017-05-23 20:00:03,2017-05-23,20,"Tue",2253.37
"144","bitcoinprice",2017-05-23 19:00:04,2017-05-23,19,"Tue",2248.31
"145","bitcoinprice",2017-05-23 18:00:03,2017-05-23,18,"Tue",2219.65
"146","bitcoinprice",2017-05-23 17:00:13,2017-05-23,17,"Tue",2220.03
"147","bitcoinprice",2017-05-23 16:00:04,2017-05-23,16,"Tue",2250.38
"148","bitcoinprice",2017-05-23 15:00:06,2017-05-23,15,"Tue",2245.68
"149","bitcoinprice",2017-05-23 14:00:04,2017-05-23,14,"Tue",2209.2
"150","bitcoinprice",2017-05-23 13:00:03,2017-05-23,13,"Tue",2205.61
"151","bitcoinprice",2017-05-23 12:00:22,2017-05-23,12,"Tue",2199.29
"152","bitcoinprice",2017-05-23 11:00:03,2017-05-23,11,"Tue",2183.06
"153","bitcoinprice",2017-05-23 10:00:03,2017-05-23,10,"Tue",2159.21
"154","bitcoinprice",2017-05-23 09:00:05,2017-05-23,9,"Tue",2161.81
"155","bitcoinprice",2017-05-23 08:00:03,2017-05-23,8,"Tue",2171.52
"156","bitcoinprice",2017-05-23 07:00:03,2017-05-23,7,"Tue",2163.9
"157","bitcoinprice",2017-05-23 06:00:04,2017-05-23,6,"Tue",2193.8
"158","bitcoinprice",2017-05-23 05:00:03,2017-05-23,5,"Tue",2182.96
"159","bitcoinprice",2017-05-23 04:00:03,2017-05-23,4,"Tue",2162.13
"160","bitcoinprice",2017-05-23 03:00:04,2017-05-23,3,"Tue",2144.37
"161","bitcoinprice",2017-05-23 02:00:04,2017-05-23,2,"Tue",2146.76
"162","bitcoinprice",2017-05-23 01:00:03,2017-05-23,1,"Tue",2138.02
"163","bitcoinprice",2017-05-23 00:00:03,2017-05-23,0,"Tue",2110.13
"164","bitcoinprice",2017-05-22 23:00:04,2017-05-22,23,"Mon",2053.32
